"Symbol","Name","IPO date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"AUID","Ipsidy Inc.","07/19/2021","$307,548,635","Software—Infrastructure","1.04","1.14","13.25","23,585,018","28,996","0.12%","Analyze"
"VLTA","Volta, Inc. Class A","11/02/2020","$299,718,750","Specialty Retail","1.00","0.66","6.95","43,125,000","2,391,317","5.55%","Analyze"
"VINC","Vincera Pharma, Inc.","05/27/2020","$290,511,257","Biotechnology","0.96","0.82","13.44","21,021,075","79,579","0.38%","Analyze"
"HLBZ","Helbiz, Inc. - Class A","12/09/2019","$283,860,120","Recreational Vehicles","0.89","0.92","9.70","29,507,289","1,023,676","3.47%","Analyze"
"UPH","UpHealth, Inc.","07/01/2019","$262,535,642","Health Information Services","0.93","0.23","1.77","144,250,353","3,293,494","2.28%","Analyze"
"SRZN","Surrozen, Inc.","08/09/2021","$242,389,656","Biotechnology","1.01","0.79","6.44","35,027,407","48,569","0.14%","Analyze"
"USWS","U.S. Well Services, Inc. - Class A","05/05/2017","$241,847,766","Oil & Gas Midstream","0.88","2.05","2.43","93,377,516","5,339,381","5.72%","Analyze"
"ALTM","Altus Midstream Company - Class A","05/02/2017","$232,055,732","Oil & Gas Midstream","0.84","1.04","65.12","3,746,460","91,757","2.45%","Analyze"
"RDBX","Redbox Entertainment Inc. - Class A","12/10/2020","$227,700,000","","1.44","1.54","15.49","14,375,000","962,378","6.69%","Analyze"
"NVVE","Nuvve Holding Corp.","03/17/2021","$222,512,135","Specialty Retail","1.00","1.03","11.94","18,714,225","97,528","0.52%","Analyze"
"EQOS","Diginex Limited","05/16/2019","$209,686,439","Capital Markets","1.22","0.60","4.95","39,047,754","2,851,886","7.30%","Analyze"
"MKTW","MarketWise, Inc. - Class A","09/14/2020","$208,063,003","Software—Application","1.01","0.75","7.26","28,003,096","176,770","0.63%","Analyze"
"TLMD","SOC Telemed, Inc. - Class A","01/28/2020","$206,234,321","Medical Care Facilities","0.97","0.36","1.96","100,113,748","445,731","0.45%","Analyze"
"GMTX","Gemini Therapeutics, Inc.","08/12/2020","$157,780,668","Biotechnology","0.99","0.40","3.61","43,109,472","103,294","0.24%","Analyze"
"SABS","SAB Biotherapeutics, Inc.","02/09/2021","$144,667,716","Biotechnology","0.85","0.81","8.05","14,792,200","1,041,672","7.04%","Analyze"
"ID","PARTS iD, Inc. Class A","12/01/2017","$137,006,373","Internet Retail","0.95","0.62","4.12","33,173,456","54,102","0.16%","Analyze"
"YTRA","Yatra Online, Inc.","12/19/2016","$120,505,974","Travel Services","1.07","1.01","2.18","57,658,361","154,773","0.27%","Analyze"
"HYMC","Hycroft Mining Holding Corporation - Class A","03/12/2018","$111,557,811","Other Precious Metals & Mining","1.02","0.47","1.76","59,977,318","162,823","0.27%","Analyze"
"SNCE","Science 37 Holdings, Inc.","11/23/2020","$107,521,373","Health Information Services","0.94","0.97","10.06","10,011,301","173,921","1.74%","Analyze"
"CRXT","Clarus Therapeutics Holdings, Inc.","09/07/2021","$93,421,013","Drug Manufacturers—General","0.90","0.73","4.21","21,725,817","1,818,920","8.37%","Analyze"
"OPFI","OppFi Inc. Class A","01/20/2021","$87,788,801","Software—Application","0.89","0.65","6.24","13,464,540","141,679","1.05%","Analyze"
"KERN","Akerna Corp.","02/26/2018","$85,519,683","Health Information Services","0.94","0.63","2.73","30,652,216","586,768","1.91%","Analyze"
"RCOR","Renovacor, Inc.","06/22/2020","$79,759,457","Biotechnology","0.99","0.74","7.30","10,778,305","24,501","0.23%","Analyze"
"UK","Ucommune International Ltd","11/07/2019","$76,971,279","Real Estate Services","1.04","0.44","1.04","77,937,707","111,892","0.14%","Analyze"
"ISUN","iSun, Inc.","04/26/2016","$72,883,891","Solar","0.92","0.68","7.87","9,087,767","54,920","0.60%","Analyze"
"ENSC","Ensysce Biosciences, Inc.","02/26/2018","$57,533,032","Biotechnology","0.93","0.22","2.19","24,275,541","501,794","2.07%","Analyze"
"SNAX","Stryve Foods, Inc. - Class A","03/06/2019","$51,398,730","Packaged Foods","1.02","0.60","5.53","9,017,321","90,906","1.01%","Analyze"
"NVTS","Navitas Semiconductor Corporation","10/18/2021","$0","Semiconductors","0.95","0.95","12.01","0","687,196","0.00%","Analyze"
"WE","WeWork Inc. Class A","10/21/2021","$0","Real Estate Services","0.87","0.87","10.36","0","8,345,713","0.00%","Analyze"
